"Experiment"	"Batch"	"NREADS"	"NALIGNED"	"RALIGN"	"TOTAL_DUP"	"PRIMER"	"PCT_RIBOSOMAL_BASES"	"PCT_CODING_BASES"	"PCT_UTR_BASES"	"PCT_INTRONIC_BASES"	"PCT_INTERGENIC_BASES"	"PCT_MRNA_BASES"	"MEDIAN_CV_COVERAGE"	"MEDIAN_5PRIME_BIAS"	"MEDIAN_3PRIME_BIAS"	"CreER"	"ERCC_reads"
"OEP01_N706_S501"	"K5ERRY_UI_96HPT"	"Y01"	3313260	3167600	95.6035	47.9943	0.0154566	2e-06	0.20013	0.230654	0.404205	0.165009	0.430784	0.843857	0.061028	0.521079	1	10516
"OEP01_N701_S501"	"K5ERRY_UI_96HPT"	"Y01"	2902430	2757790	95.0167	45.015	0.0182066	0	0.182461	0.20181	0.465702	0.150027	0.384271	0.91437	0.03335	0.373993	3022	9331
"OEP01_N707_S507"	"K5ERRY_UI_96HPT"	"Y01"	2307940	2178350	94.3852	43.7832	0.0219196	0	0.152627	0.207897	0.511416	0.12806	0.360524	0.955405	0.014606	0.49123	2329	7386
"OEP01_N705_S501"	"K5ERRY_UI_96HPT"	"Y01"	3337400	3183720	95.3952	43.2688	0.0183041	2e-06	0.169514	0.207342	0.457556	0.165586	0.376856	0.81663	0.101798	0.525238	717	6387
"OEP01_N704_S507"	"K5ERRY_UI_96HPT"	"Y01"	117892	98628	83.6596	18.0576	0.0623744	1.4e-05	0.110724	0.199174	0.489514	0.200573	0.309898	1.19978	0	0.706512	60	992
"OEP01_N709_S501"	"K5ERRY_UI_96HPT"	"Y01"	3502620	3352230	95.7065	54.6632	0.0165818	1e-06	0.310654	0.268904	0.283935	0.136506	0.579558	0.715861	0.136549	0.497042	2	8362
"OEP01_N708_S507"	"K5ERRY_UI_96HPT"	"Y01"	5514	4657	84.4577	2.44903	0.0275351	0	0.216635	0.278882	0.358108	0.146374	0.495518	0.885494	0.225658	0.578228	6	34
"OEP01_N702_S505"	"K5ERRY_UI_96HPT"	"Y01"	2984830	2844350	95.2935	66.3881	0.0190047	0	0.305311	0.283584	0.21197	0.199135	0.588895	1.01125	0.013452	0.453206	7007	33321
"OEP01_N707_S503"	"K5ERRY_UI_96HPT"	"Y01"	2084400	1733550	83.1681	59.1656	0.110117	0	0.158299	0.308567	0.280101	0.253032	0.466866	1.71552	0	0.773989	3380	7148
"OEP01_N703_S501"	"K5ERRY_UI_96HPT"	"Y01"	2891620	2774520	95.9502	50.418	0.0146374	0	0.197561	0.233811	0.431352	0.137277	0.431371	0.998947	0.003113	0.415378	3462	12412
"OEP01_N702_S508"	"K5ERRY_UI_96HPT"	"Y01"	525096	484847	92.3349	18.806	0.0248804	0	0.130247	0.230848	0.477167	0.161738	0.361095	1.13937	0	0.671565	6	1218
